<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,@notation,@status,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-0>,0-0-0,stable,'Temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Temperature'@en,'Temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-1>,0-0-1,stable,'Virtual temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Virtual temperature'@en,'Virtual temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,10,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-10>,0-0-10,stable,'Latent heat net flux'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Latent heat net flux'@en,'Latent heat net flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,11,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-11>,0-0-11,stable,'Sensible heat net flux'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Sensible heat net flux'@en,'Sensible heat net flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,12,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-12>,0-0-12,stable,'Heat index'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Heat index'@en,'Heat index'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,13,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-13>,0-0-13,stable,'Wind chill factor'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Wind chill factor'@en,'Wind chill factor'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,14,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-14>,0-0-14,stable,'Minimum dewpoint depression'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Minimum dewpoint depression'@en,'Minimum dewpoint depression'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,15,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-15>,0-0-15,stable,'Virtual potential temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Virtual potential temperature'@en,'Virtual potential temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,16,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-16>,0-0-16,stable,'Snow phase change heat flux'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow phase change heat flux'@en,'Snow phase change heat flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,17,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-17>,0-0-17,stable,'Skin temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Skin temperature'@en,'Skin temperature'@en
